dept/pgm,number,course title,area
ANTHRO,213,Human Origins,I
ANTHRO,309,Human Osteology,I
ANTHRO,312,Human Population Biology,I
ANTHRO,316,Forensic Anthropology,I
ANTHRO,317,Human Evolution,I
ANTHRO,359,The Human Microbiome and Health,I
ASTRON,101,Modern Cosmology,I
ASTRON,102,Milky Way Galaxy,I
ASTRON,103,Solar System,I
ASTRON,106,A Brief Journey through the Invisible Universe (taught also as PHYSICS 106),I
ASTRON,111,Introduction to Astrobiology,I
ASTRON,120,Highlights of Astronomy,I
ASTRON,220-1,Introduction to Astrophysics I: Life Cycle of Stars and Planets,I
ASTRON,220-2,Introduction to Astrophysics II: Galactic Evolution and Cosmology,I
ASTRON,305,Basics of Radio Astronomy,I
ASTRON,390,Current Topics in Astronomy,I
BIOL SCI,100,Introduction to Biological Sciences at Northwestern (course for participants in Bio&ChemEXCEL),I
BIOL SCI,103,Diversity of Life,I
BIOL SCI,104,Plant-People Interactions,I
BIOL SCI,109,The Nature of Plants,I
BIOL SCI,150,Human Genetics,I
BIOL SCI,160,Human Reproduction,I
BIOL SCI,164,Basic Genetics & Evolution,I
BIOL SCI,201,Molecular Biology,I
BIOL SCI,202,Cell Biology,I
BIOL SCI,203,Genetics and Evolution,I
BIOL SCI,301,Principles of Biochemistry,I
BIOL SCI,307,"Brain Structure, Function, and Evolution",I
BIOL SCI,310,Human Physiology,I
BIOL SCI,333,Plant-Animal Interactions,I
BIOL SCI,354,Quantitative Analysis of Biology,I
BIOL SCI,359,Quantitative Experimentation in Biology,I
BIOL SCI,377,The Human Microbiome,I
BIOL SCI,381,Stem Cells and Regengeration,I
BIOL SCI,393,Human Genomics,I
CHEM,131,General Chemistry 1,I
CHEM,132,General Chemistry 2,I
CHEM,151,Accelerated General Chemistry 1,I
CHEM,152,Accelerated General Chemistry 2,I
CHEM,171,Advanced General Inorganic Chemistry,I
CHEM,172,Advanced General Physical Chemistry,I
CHEM,201,Chemistry of Nature & Culture,I
CHEM,212-1,Organic Chemistry (primarily for chemistry majors and ISP students),I
CHEM,212-2,Organic Chemistry (primarily for chemistry majors and ISP students),I
CHEM,212-3,Organic Chemistry (primarily for chemistry majors and ISP students),I
CHEM,215-1,Introductory Organic Chemistry I,I
CHEM,215-2,Introductory Organic Chemistry II,I
CHEM,215-3,Advanced Organic Chemistry,I
CHEM,360,Nanopatterning,I
CIV ENV,203,Earth in the Anthropocene,I
COG SCI,210,Language & the Brain,I
CSD,112,Scientific Exploration of Communication,I
CSD,202,Neurobiology of Communication,I
CSD,301,Anatomy and Physiology of the Vocal Mechanism,I
CSD,302,Anatomy and Physiology of the Peripheral Hearing Mechanism,I
CSD,303,Brain and Cognition; with PSYCH 327,"I,III"
CSD,305,Phonetics,"I,III"
CSD,310,Biological Foundations of Speech and Music,I
CSD,318,Introduction to Audiology,I
EARTH,101,Earth Science for the 21st Century,I
EARTH,105,Climate Catastrophes in Earth History,I
EARTH,106,"The Ocean, The Atmosphere, & Our Climate",I
EARTH,114,Evolution & the Scientific Method,I
EARTH,180,Fantasy Worlds - How to Build Your Own Planet,I
EARTH,201,Earth Systems Revealed,I
EARTH,202,Earth's Interior,I
EARTH,203,Earth System History,I
EARTH,300,Earth and Planetary Materials,I
EARTH,301,Petrology: Evolution of Crustal and Mantle Rocks,I
EARTH,310,Aqueous Geochemistry,I
EARTH,314,Organic Geochemistry,I
EARTH,323,Seismology & Earth Strucutre,I
EARTH,324,Earthquakes and Tectonics,I
EARTH,340,Physics of Weather and Climate,I
EARTH,341,Quaternary Climate Change: Ice Ages to the Age of Oil,I
EARTH,342,Contemporary Energy and Climate Change,I
EARTH,343,Earth System Modeling,I
EARTH,370,Geobiology,I
EARTH,371,Biogeochemistry,I
ENVR SCI,201,Earth: A Habitable Planet,I
ENVR SCI,202,The Health of the Biosphere,I
ENVR SCI,203,Humans and the Environment,I
GEN LA,280-1,Residence-Linked Seminar - I,I
GEOG,211,World Biogeography,I
GEOG,235,Atmosphere and Climate,I
GEOG,341,Principles of Cartography,I
GEOG,343,Geographic Information Systems,I
GBL HLTH,308,Global Health in Human History,"I,IV"
ISEN,220,Introduction to Energy Systems for the Twenty-First Century,I
LING,250,Sound Patterns in Human Language,I
LING,350,Fundamentals of Laboratory Phonology,I
MATH,327,Mechanics for Mathematicians,"I,II"
NEUROSCI,202,Cellular and Molecular Neuroscience,I
NEUROSCI,206,Systems and Behavioral Neuroscience,I
NEUROSCI,320,Animal Behavior,I
NEUROSCI,360,Neuroscience of Brain Disorders,I
NEUROSCI,377,Neurobiology of Sensation and Perception,I
PHYSICS,103,Ideas of Physics,I
PHYSICS,105,"Music, Sound, Timbre",I
PHYSICS,106,A Brief Journey through the Invisible Universe (taught also as ASTRON 106),I
PHYSICS,125-1,General Physics for ISP,I
PHYSICS,125-2,General Physics for ISP,I
PHYSICS,125-3,General Physics for ISP,I
PHYSICS,130-1,College Physics,I
PHYSICS,130-2,College Physics,I
PHYSICS,130-3,College Physics,I
PHYSICS,135-1,General Physics,I
PHYSICS,135-2,General Physics,I
PHYSICS,135-3,General Physics,I
PHYSICS,140-1,Fundamentals of Physics,I
PHYSICS,140-2,Fundamentals of Physics,I
PHYSICS,140-3,Fundamentals of Physics,I
PHYSICS,239,Foundations of Modern Physics,I
PHYSICS,312,Scalar and Vector Field Methods in Physics,I
PHYSICS,335,Physics of Magic,I
PHYSICS,357,Optics Laboratory,I
PSYCH,221,Introduction to Neuroscience,I
PSYCH,320-0,Intermediate Neuroscience,I
PSYCH,324,Perception,"I,III"
PSYCH,325-0,Selected Topics in Neuroscience and Psychophysiology,I
PSYCH,327,Brain and Cognition; with CSD 303,"I,III"
PSYCH,328,Brain Damage & the Mind,"I,III"
PSYCH,336,Consciousness,"I,III"
PSYCH,374,Human Memory,"I,III"
PSYCH,378,Images of Cognition,"I,III"
PSYCH,379,Neuroscience & Behavior Laboratory,I
AF AM ST,215,Introduction to Black Social & Political Life,"III,IV,V"
AF AM ST,218,Asian-Black Historical Relations in the U.S.; with ASIAN AM 218,"III,IV"
AF AM ST,236,Introduction to African American Studies,III
AF AM ST,250,"Race, Class, & Gender",III
AF AM ST,251,The Mixed-Race Experience; with ASIAN AM 251,III
AF AM ST,319,"Race, Ethnicity, & the American Constitution","III,V"
AF AM ST,320,The Social Meaning of Race,III
AF AM ST,325,Education for Black Liberation,III
AF AM ST,327,Politics of Black Popular Culture,"III,VI"
AF AM ST,330,Black Women in 20th Century US,"III,IV"
AF AM ST,334,Gender & Black Masculinity,III
AF AM ST,339,Unsettling Whiteness,"III,IV"
AF AM ST,342,Comparative Slavery,"III,IV,V"
AF AM ST,355,Diaspora Studies,III
AF ST,360-SA,"Culture, Language, and Identity in South Africa",III
ANTHRO,211,Culture & Society,III
ANTHRO,215,The Study of Culture Through Language,III
ANTHRO,221,Social and Health Inequalities; with SOCIOL 221,III
ANTHRO,235,Language in Asian America; with ASIAN AM 235,III
ANTHRO,240,Anthropology of Money,III
ANTHRO,242,"Porous Borders? Geography, Power and Techniques of Movement",III
ANTHRO,307,Anthropology of Peace,III
ANTHRO,313,Evolutionary Medicine,III
ANTHRO,320,Peoples of Africa,III
ANTHRO,326,Archaeologies of Sustainability and Collapse (with ENVR POL 385),III
ANTHRO,330,Peoples of the World,III
ANTHRO,332,The Anthropology of Reproduction,III
ANTHRO,334,The Anthropology of HIV/AIDS,III
ANTHRO,339,Material Culture,III
ANTHRO,341,Economic Anthropology,III
ANTHRO,343,Anthropology of Race,III
ANTHRO,353,Shady Business: Informal Economies in Contemporary Capitalism,III
ANTHRO,354,Gender & Anthropology,III
ANTHRO,355,Sexualities,III
ANTHRO,358,Primate Behavior and Ecology,III
ANTHRO,360,Language & Culture,III
ANTHRO,361,Talk as Social Action,III
ANTHRO,365,"Language, Race, and Ethnicity in the U.S.; with ASIAN AM 365",III
ANTHRO,369,Contemporary Immigration to the US,III
ANTHRO,373,Power & Culture in American Cities,III
ANTHRO,376,Socialization,III
ANTHRO,377,Psychological Anthropology,III
ANTHRO,378,Law & Culture,III
ANTHRO,382,Political Ecology (with ENVR POL 384),III
ANTHRO,384,"Traveling While Muslim: Islam, Mobility, and Security after 9/11",III
ASIAN AM,203,Topics in Asian American Social and Cultural Analysis,III
ASIAN AM,210,Introduction to Asian American Studies,III
ASIAN AM,218,Asian-Black Historical Relations in the U.S.; with AF AM ST 218,"III,IV"
ASIAN AM,225,Contemporary Issues in Asian American Communities,III
ASIAN AM,235,Language in Asian America; with ANTHRO 235,III
ASIAN AM,251,The Mixed-Race Experience; with AF AM ST 251,III
ASIAN AM,303,Advanced Topics in Social and Cultural Analysis,III
ASIAN AM,350,Asian American Religions,"III,V"
ASIAN AM,360,"Studies in Race, Gender, and Sexuality",III
ASIAN AM,365,"Language, Race, and Ethnicity in the U.S.; with ANTHRO 365",III
ASIAN AM,370,Studies in Diaspora,III
BUS INST,303,Leadership in Organizations,III
CFS,387,"Field Studies in Environment, Science, and Sustainability (variable-credit course; 1 unit can count toward distribution requirements)",III
CFS,391,Field Studies in Social Justice (variable-credit course; 1 unit can count toward distribution requirements),III
CFS,392,Field Studies in Public Health (variable-credit course; 1 unit can count toward distribution requirements),III
CFS,393,Field Studies in the Modern Workplace (4-unit course; 1 unit can count toward distribution requirements),"III,IV"
CFS,394,Legal Field Studies (4-unit course; 1 unit can count toward distribution requirements),III
CFS,395,Business Field Studies (4-unit course; 1 unit can count toward distribution requirements),III
CFS,397,Field Studies in Civic Engagement (variable-credit course; 1 unit can count toward distribution requirements),III
CLASSICS,360,Origins of Greek Democracy,"III,IV"
COG SCI,110,Introduction to Cognitive Science,III
COG SCI,202,Evaluating Evidence; with POLI SCI 212,III
COG SCI,211,"Learning, Representation, & Reasoning",III
COG SCI,245,Presenting Ideas and Data (with PSYCH 245); starting Fall 2022 this will be COG SCI 345,III
COG SCI,345,Presenting Ideas and Data (with PSYCH 345); prior to Fall 2022 this was COG SCI 245,III
COMP_SCI,101,"Computer Science: Concepts, Philosophy, and Connections",III
CSD,303,Brain and Cognition ; with PSYCH 327,"I,III"
CSD,305,Phonetics,"I,III"
CSD,306,Psychoacoustics,III
CSD,309,"Culture, Language, and Learning",III
CSD,334,Delivery Systems in Speech and Language Pathology,III
CSD,342,Language and Cognition in Atypical Development,III
CSD,373,Introduction to Learning Disabilities,III
CSD,376,Diagnostic & Remedial Approaches for Children with Learning Problems,III
CSD,392,Language Development and Usage,III
ECON,201,Introduction to Macroeconomics,III
ECON,202,Introduction to Microeconomics,III
ECON,310-1,"Microeconomics, I",III
ECON,311,Macroeconomics,III
ENVR POL,211,Food and Society: An Introduction; with SOCIOL 211,III
ENVR POL,212,Environment and Society; with SOCIOL 212,III
ENVR POL,311,"Food, Politics, and Society; with SOCIOL 311",III
ENVR POL,312,Social Change and the Environment; with SOCIOL 312,III
ENVR POL,329,U.S. Environmental Politics (taught with POLI SCI 329),III
ENVR POL,336,"The Climate Crisis, Policies, and Society; with SOCIOL 336",III
ENVR POL,356,Native Americans and Environmental Decision Making; with PSYCH 356,III
ENVR POL,360,Animal Law (with LEGAL ST 360),III
ENVR POL,384,Political Ecology (with ANTHRO 382),III
ENVR POL,385,Archaeologies of Sustainability and Collapse (with ANTHRO 326),III
GBL HLTH,305,Global Health and Indigenous Medicine,III
GBL HLTH,306,Biomedicine and Culture,III
GBL HLTH,307,International Perspectives on Mental Health,III
GBL HLTH,315-SA,Public Health in South Africa,III
GBL HLTH,316-SA,"Development Perspectives on Health in South Africa through Community
Engagement",III
GBL HLTH,320,Qualitative Research Methods in Global Health,III
GBL HLTH,321,War and Public Health,"III,V"
GBL HLTH,322,Social Determinants of Health,III
GBL HLTH,323,Global Health from Policy to Practice,III
GBL HLTH,332-SA,Public Health in China,III
GBL HLTH,333-SA,Traditional Chinese Medicine,III
GEN LA,280-3,Residence-Linked Seminar - III,III
GEOG,240,Economic Geography,III
GEOG,312,Geography of Chicago and Its Region,III
GEOG,313,North America,III
GEOG,328,The Human Use of The Earth,III
GERMAN,213,"Politics, History, and Culture in 21st Century Germany",III
GNDR ST,220,Sexual Subjects: Introduction to Sexuality Studies,"III,IV"
GNDR ST,232,Sexuality and Society; with SOCIOL 232,III
GNDR ST,234,Language and Gender; with LING 223,III
GNDR ST,235,Beyond the Binary: Transgender and Race,III
GNDR ST,250,Gender Issues in Science and Health,III
GNDR ST,331,Sociology of Gender and Sexuality,III
GNDR ST,332,"Gender, Sexuality, and Health",III
GNDR ST,340,"Gender, Sexuality, and the Law (with LEGAL ST 340)","III,IV"
GNDR ST,341,Transnational Perspectives on Gender and Sexuality,III
GNDR ST,350-3,Research Seminar in Gender and Sexuality Studies,III
GNDR ST,351,"Gender, Sexuality, and Public Policy",III
GNDR ST,352,"Gender, Sexuality, and Political Theory",III
GNDR ST,353,Gender and Citizenship,III
GNDR ST,371,"Gender, Sexuality, and Popular Culture",III
HUM,220,"Health, Biomedicine, Culture, and Society ; with SOCIOL 220","III,V"
HUM,310-3,Global Humanities Lab,III
HUM,325-3,Humanites in the Digital Age,III
HUM,370-3,Special Topics in the Humanities,III
INTL ST,290,Introductory Topics in International Studies,III
INTL ST,393-0,"Development in the Global Context: Participation, Power, and Social Change (variable credit course; 1 unit can count toward distribution requirements)",III
INTL ST,393-SA,"Development in the Global Context: Participation, Power, and Social Change (variable credit course; 1 unit can count toward distribution requirements)",III
IEMS,365,Analytics for Social Good,III
ISEN,210,Introduction to Sustainability: Challenges and Solutions,III
LATINO,201,Introduction to Latina and Latino Studies,"III,IV"
LATINO,222,Latina and Latino Youth in U.S. Cities,III
LATINO,342,Latina and Latino Social Movements,"III,V"
LATINO,392,Topics in Latina and Latino Social and Political Issues,"III,V"
LEGAL ST,206,Law and Society; with SOCIOL 206,III
LEGAL ST,207,Legal Studies Research Methods; with SOCIOL 227,III
LEGAL ST,308,Sociology of Law; with SOCIOL 318,III
LEGAL ST,315,Corporation in US Law and Culture,III
LEGAL ST,330,U.S. Refugee Policy & Localities (with POLI SCI 330),III
LEGAL ST,332,Constitutional Law I; with POLI SCI 332,III
LEGAL ST,333,Constitutional Law II; with POLI SCI 333,III
LEGAL ST,340,Gender and the Law (with GNDR ST 340),"III,IV"
LEGAL ST,342,International Organizations; with POLI SCI 342,III
LEGAL ST,348,"Race, Politics, and the Law; with SOCIOL 348",III
LEGAL ST,350,Psychology and the Law; with PSYCH 340,III
LEGAL ST,356,Constitutional Challenges in Comparative Perspective (with POLI SCI 356),III
LEGAL ST,360,Animal Law (with ENVR POL 360),III
LEGAL ST,380,Refugee Crises and Human Rights (with POLI SCI 380),III
LEGAL ST,381,Children and the Law; with PSYCH 381,III
LING,220,Language and Society,III
LING,223,Language and Gender; with GNDR ST 234,III
LING,312,Experimental Sociolinguistics,III
LING,315,Experimental Approaches to Word Form Processing,III
LING,316,Experimental Syntax,III
LING,317,Experimental Pragmatics,III
LING,320,Sociolinguistics,III
LING,321,Bilingualism,III
LING,330,Research Methods in Linguistics,III
LING,363,Making a Dictionary: The Northwestern Project; with SLAVIC 322,III
LING,373,Implicature,III
MENA,200,"Making the Modern Middle East: Culture, Politics, History","III,VI"
MENA,290-3,Introductory Topics in Middle East and North African Studies,III
MENA,390-3,Advanced Topics in  Middle East and North African Studies,III
MMSS,211-1,Social Science Theories & Methods: First Year 1,III
MMSS,211-3,Social Science Theories & Methods: First Year 3,III
PHIL,225,Minds and Machines,III
PHIL,253,Introduction to the Philosophy of Language,III
POLI SCI,201,Introduction to Political Theory,"III,V"
POLI SCI,211,Introduction to Interprative Methods in Political Science,III
POLI SCI,212,Evaluating Evidence; with COG SCI 202,III
POLI SCI,220,American Government and Politics,III
POLI SCI,230,Introduction to Law in the Political Arena,III
POLI SCI,240,Introduction to International Relations,III
POLI SCI,250,Introduction to Comparative Politics,III
POLI SCI,306,American Political Thought,"III,IV"
POLI SCI,320,The American Presidency,III
POLI SCI,321,Urban Politics,III
POLI SCI,322,Ideas and Institutions in Urban Politics,III
POLI SCI,324,Political Parties and Elections,III
POLI SCI,325,Congress and the Legislative Process,III
POLI SCI,326,Race and Public Policy,III
POLI SCI,327,African American Politics,III
POLI SCI,329,U.S. Environmental Politics (taught with ENVR POL 329),III
POLI SCI,330,U.S. Refugee Policy & Localities (with LEGAL ST 330),III
POLI SCI,332,Constitutional Law I; with LEGAL ST 332,III
POLI SCI,333,Constitutional Law II; with LEGAL ST 333,III
POLI SCI,334,Latino Politics,III
POLI SCI,335,Political Psychology,III
POLI SCI,336,Immigration Politics and Policy,III
POLI SCI,342,International Organizations; with LEGAL ST 342,III
POLI SCI,343,Politics of International Law,III
POLI SCI,344,U.S. Foreign Policy,III
POLI SCI,345,National Security,III
POLI SCI,350,Social Movements,III
POLI SCI,351,Politics of the Middle East,III
POLI SCI,352,Global Development (co-listed with SOCIOL 317),III
POLI SCI,353,Politics of Latin America,III
POLI SCI,354,Politics of Southeast Asia,III
POLI SCI,355,Politics of China,III
POLI SCI,356,Constitutional Challenges in Comparative Perspective (with LEGAL ST 356),III
POLI SCI,357-SA,Political Economy of Israel,III
POLI SCI,358-SA,Contemporary South Africa: A Political Economy/Policy Perspective,III
POLI SCI,359,Politics in Africa,III
POLI SCI,361,Democratic Transitions,III
POLI SCI,361-SA,Democratic Transitions,III
POLI SCI,362,Politics of Europe,III
POLI SCI,368,Political Economy of Development,III
POLI SCI,369,The Politics of Post-Soviet Russia,III
POLI SCI,372,The Middle East in International Politics,III
POLI SCI,373,Chinese Foreign Policy,III
POLI SCI,374,Politics of Capitalism,III
POLI SCI,377,Drugs and Politics,III
POLI SCI,378,America and the World,III
POLI SCI,379-SA,"China in Transition: Ideology, Political Economy, Law, and Relations with the United States",III
POLI SCI,380,Refugee Crises and Human Rights (with LEGAL ST 380),III
POLI SCI,381-SA,Political Economy of Contemporary China,III
POLI SCI,382,Politics of Religious Diversity,"III,V"
POLI SCI,383,War and Change in International Politics,III
POLI SCI,384,International Responses to Mass Atrocities,III
POLI SCI,388,Institutions and Society; with SOCIOL 288,III
POLI SCI,389,Understanding Genocide; with SOCIOL 379,III
PSYCH,110,Introduction to Psychology,III
PSYCH,213,Social Psychology,III
PSYCH,215,Psychology of Personality,III
PSYCH,228,Cognitive Psychology,III
PSYCH,244,Developmental Psychology,III
PSYCH,245,Presenting Ideas and Data (with COG SCI 245); starting Fall 2022 this will be PSYCH 345,III
PSYCH,248,Health Psychology,III
PSYCH,249,Buddhist Psychology,"III,V"
PSYCH,303,Psychopathology,III
PSYCH,306,Introduction to Clinical Psychology,III
PSYCH,308,Cognitive Behavior Therapy,III
PSYCH,311,Psychology of Attitudes,III
PSYCH,313,Relationship Science,III
PSYCH,317,The Holocaust: Psychological Themes & Perspectives,III
PSYCH,324,Perception,"I,III"
PSYCH,327,Brain and Cognition; with CSD 303,"I,III"
PSYCH,328,Brain Damage & the Mind,"I,III"
PSYCH,333,Psychology of Thinking,III
PSYCH,336,Consciousness,"I,III"
PSYCH,340,Psychology and Law; with LEGAL ST 350,III
PSYCH,341,Positive Psychology: The Science of Well-Being,III
PSYCH,342,Evolutionary Psychology,III
PSYCH,343,Psychology of Beauty,III
PSYCH,344,Cultural Psychology,III
PSYCH,345,Presenting Ideas and Data (with COG SCI 345); prior to Fall 2022 this was PSYCH 245,III
PSYCH,348,Psychology of Sex and Gender Differences,III
PSYCH,356,Native Americans and Environmental Decision Making; with ENVR POL 356,III
PSYCH,360,Personality Research,III
PSYCH,364,Social & Personality Development,III
PSYCH,366,Stereotyping and Prejudice,III
PSYCH,367,Child Psychopathology,III
PSYCH,369,Psychological Tests and Measures,III
PSYCH,370,Cognitive Development,III
PSYCH,372,Language & Cognition,III
PSYCH,373,Decision Making,III
PSYCH,374,Human Memory,"I,III"
PSYCH,378,Images of Cognition,"I,III"
PSYCH,381,Children and the Law; with LEGAL ST 381,III
PSYCH,383,Psychology and Food,III
PSYCH,387,Consumer Psychology and Marketing Research,III
SLAVIC,322,Making a Dictionary: The Northwestern Project; with LING 363,III
SOCIOL,110,Introduction to Sociology,III
SOCIOL,201,"Social Inequality: Race, Class, and Power",III
SOCIOL,202,Social Problems,III
SOCIOL,206,Law & Society (with LEGAL ST 206),III
SOCIOL,207,Cities in Society,III
SOCIOL,208,Race and Society,III
SOCIOL,210,Families and Societies,III
SOCIOL,211,Food and Society: An Introduction; with ENVR POL 211,III
SOCIOL,212,Environment and Society; with ENVR POL 212,III
SOCIOL,215,Economy and Society,III
SOCIOL,216,Gender and Society,III
SOCIOL,217,Global Perspectives on Education,III
SOCIOL,218,Education and Inequality: Focus on Chicago,III
SOCIOL,220,"Health, Biomedicine, Culture, and Society; with HUM 220","III,V"
SOCIOL,221,Social and Health Inequalities; with ANTHRO 221,III
SOCIOL,227,Legal Studies Research Methods; with LEGAL ST 207,III
SOCIOL,232,Sexuality and Society; with GNDR ST 232,III
SOCIOL,276,Introductory Topics in Sociology,III
SOCIOL,277,Introduction to Native American Studies,"III, IV"
SOCIOL,288,Institutions and Society; with POLI SCI 388,III
SOCIOL,301,The City: Urbanization and Urbanism,III
SOCIOL,302,Sociology of Organizations,III
SOCIOL,304,The Politics of Racial Knowledge,III
SOCIOL,305,Population Dynamics,III
SOCIOL,307,School and Society,III
SOCIOL,308,"Crime, Politics, and Society",III
SOCIOL,309,Political Sociology,III
SOCIOL,310,Sociology of the Family,III
SOCIOL,311,"Food, Politics, and Society; with ENVR POL 311",III
SOCIOL,312,Social Change and the Environment; with ENVR POL 312,III
SOCIOL,314,Sociology of Religion,III
SOCIOL,316,Economic Sociology,III
SOCIOL,317,Global Development (co-listed with POLI SCI 352),III
SOCIOL,318,Sociology of Law; taught with LEGAL ST 308,III
SOCIOL,319,Sociology of Science,III
SOCIOL,321,"Numbers, Identity, and Modernity","III,V"
SOCIOL,322,Sociology of Immigration,III
SOCIOL,323,American Subcultures and Ethnic Groups,III
SOCIOL,324,Global Capitalism,"III,IV"
SOCIOL,325,Global and Local Inequalities,III
SOCIOL,327,Youth and Society,III
SOCIOL,328,Inequality and American Society,III
SOCIOL,330,"Law, Markets, and Globalization",III
SOCIOL,331,"Markets, Hierarchies, and Democracies",III
SOCIOL,332,Work and Occupations,III
SOCIOL,334,Social Protest and Social Change Around the World,III
SOCIOL,335,Sociology of Rational Decision Making,III
SOCIOL,336,"The Climate Crisis, Policies, and Society; with ENVR POL 336",III
SOCIOL,345,Class and Culture,III
SOCIOL,348,"Race, Politics, and the Law; with LEGAL ST 348",III
SOCIOL,350,Sociology of the Arts,III
SOCIOL,355,Medical Sociology,III
SOCIOL,356,Sociology of Gender,III
SOCIOL,379,Understanding Genocide; with POLI SCI 389,III
SOCIOL,392,Seminars,III
SPANISH,363,Topics in U.S. Latina and Latino Literary and Cultural Studies  (Spanish prereq),"III,VI"
AF AM ST,212-1,Introduction to African American History; with HISTORY 212-1,IV
AF AM ST,212-2,Introduction to African American History; with HISTORY 212-2,IV
AF AM ST,213,History of the Black World,IV
AF AM ST,214,Comparative Race and Ethnic Studies,IV
AF AM ST,215,Introduction to Black Social & Political Life,"III,IV,V"
AF AM ST,218,Asian-Black Historical Relations in the U.S. ;  with ASIAN AM 218,"III,IV"
AF AM ST,220,Civil Rights & Black Liberation,"IV,V"
AF AM ST,245,The Black Diaspora & Transnationality,IV
AF AM ST,315,Religion in the Black Atlantic,"IV,V"
AF AM ST,330,Black Women in 20th-Century,"III,IV"
AF AM ST,339,Unsettling Whiteness,"III,IV"
AF AM ST,342,Comparative Slavery,"III,IV,V"
