dept/pgm,number,course title,area
PHYSICS,311-1,Mathematical Tools for the Physical Sciences - I,II
PHYSICS,311-2,Mathematical Tools for the Physical Sciences - II,II
POLI SCI,210,Introduction to Empirical Methods in Political Science,II
POLI SCI,310,Methods of Political Inference,II
POLI SCI,311,Logics of Political Inquiry,II
POLI SCI,312,Statistical Research Methods,II
PSYCH,201,Statistical Methods in Psychology,II
PSYCH,380,Advanced Statistics & Experimental Design,II
SLAVIC,341,Structure of Modern Russian,II
SOCIOL,303,Analysis and Interpretation of Social Data,II
SPANISH,281,Spanish Phonetics and Phonology,II
STAT,202,Introduction to Statistics and Data Science,II
STAT,210,Introductory Statistics for the Social Sciences,II
STAT,228,Series and Multiple Integrals,II
STAT,232,Applied Statistics,II
STAT,,"Any 300-level Statistics course (except 390, 398, or 399) can count as one credit of the Area II requirement.",II
AF AM ST,210,Survey of African American Literature,VI
AF AM ST,211,Literatures of the Black World,VI
AF AM ST,225,African American Culture,VI
AF AM ST,259,Introduction to African American Drama,VI
AF AM ST,261,Queer Literatures in the African Diaspora,VI
AF AM ST,327,Politics of Black Popular Culture,"III,VI"
AF AM ST,331,The African American Novel,VI
AF AM ST,360,Major Authors,VI
AF AM ST,378,The Harlem Renaissance,VI
AF AM ST,379,Black Women Writers,VI
AF ST,276,African Literature in Translation; with COMP LIT 276,VI
ARABIC,316-1,Reading Arabic Poetry (Arabic prereq),VI
ARABIC,316-2,Reading Classical Arabic Texts (Arabic prereq),VI
ARABIC,316-3,Reading Modern Arabic Prose (Arabic prereq),VI
ART,270,Contemporary Art Survey,VI
ART,272,Critical Methods for Contemporary Art,VI
ART HIST,210,Introduction to Art History,"IV,VI"
ART HIST,220,Introduction to African Art,VI
ART HIST,222,Introduction to Art of the African Diaspora,"IV,VI"
ART HIST,224,Introduction to Ancient Art,"IV,VI"
ART HIST,225,Introduction to Medieval Art,"IV,VI"
ART HIST,228,Introduction to Pre-Columbian Art,VI
ART HIST,230,Introduction to American Art,VI
ART HIST,232,Introduction to the History of Architecture and Design,VI
ART HIST,235,Introduction to Latin American Art,VI
ART HIST,240,Introduction to Asian Art,VI
ART HIST,250,Introduction to European Art,"IV,VI"
ART HIST,255,Introduction to Modernism,"IV,VI"
ART HIST,260,Introduction to Contemporary Art,VI
ART HIST,310-1,Ancient Art: Greece,VI
ART HIST,310-2,Ancient Art,VI
ART HIST,318,"Exhibiting Antiquity: The Culture and Politics of Display; with
CLASSICS 397 and HUM 397","IV,VI"
ART HIST,320-1,Medieval Art: Byzantine,"IV,VI"
ART HIST,320-2,Medieval Art: Early Medieval,VI
ART HIST,320-3,Medieval Art: Late Medieval,"IV,VI"
ART HIST,330-1,Renaissance Art c. 1300-1550 (High Renaissance),VI
ART HIST,330-2,Renaissance Art and Mannerism: Southern European Art 1400-1600,VI
ART HIST,330-3,Renaissance Art and Mannerism: Northern European Art 1400-1600,VI
ART HIST,340-1,Baroque Art: Southern Europe 1600-1700,"IV,VI"
ART HIST,340-2,Baroque Art: Northern Europe 1600-1700,"IV,VI"
ART HIST,350-1,19th-Century Art: Late 18th Century-1848,VI
ART HIST,350-2,19th-Century Art: 1848-1900,VI
ART HIST,360-1,20th-Century European Art,VI
ART HIST,360-2,20th-Century European Art,VI
ART HIST,365-1,American Art I,VI
ART HIST,365-2,American Art II,VI
ART HIST,370-1,Modern Architecture and Design,VI
ART HIST,370-2,Contemporary Architecture and Design,VI
ART HIST,372-1,Japanese Art,VI
ART HIST,375,Media Theory; with HUM 225,VI
ART HIST,378,The Global City,VI
ART HIST,380-1,Tibetan Buddhist Art 1,VI
ART HIST,380-2,Tibetan Buddhist Art 2,VI
ART HIST,382-1,Chinese Painting,VI
ART HIST,384,African American Art,VI
ART HIST,385,Black Visual Culture: Race and Representation,VI
ART HIST,386,Art of Africa,VI
ART HIST,395,Museums,VI
ASIAN AM,247,Asian Americans and Popular Culture,VI
ASIAN AM,275,Introduction to Asian American Literature; with ENGLISH 275,VI
ASIAN AM,276,Topics in Litereary and Cultural Studies,VI
ASIAN AM,376,Advanced Topics in Litereary and Cultural Studies,VI
ASIAN AM,377,The American Century in Asia,VI
ASIAN AM,380,Studies in Arts and Performance,VI
ASIAN LC,200,Introductory Topics in Chinese Literature and Culture,VI
ASIAN LC,202,Introduction to Modern Chinese Literature and Culture,VI
ASIAN LC,204,Modern Chinese Popular Culture I,VI
ASIAN LC,205,Modern Chinese Popular Culture II,VI
ASIAN LC,220,Introductory Topics in Japanese Literature and Culture,VI
ASIAN LC,221,Introduction to Premodern Japanese Literature and Culture,VI
ASIAN LC,222,Introduction to Modern Japanese Literature and Culture,VI
ASIAN LC,223,Introduction to Contemporary Japanese Literature and Culture,VI
ASIAN LC,224,"Introduction to Japanese Film, Media, and Visual Culture",VI
ASIAN LC,240,Introductory Topics in Korean Literature and Culture,VI
ASIAN LC,260,Introductory Topics in South Asian Literature and Culture,VI
ASIAN LC,261,South Asian Popular Cultures,VI
ASIAN LC,265,South Asian Cinemas,VI
ASIAN LC,290,Introductory Topics in Asian Languages and Cultures,VI
ASIAN LC,300,Advanced Topics in Chinese Literature and Culture,VI
ASIAN LC,320,Advanced Topics in Japanese Literature and Culture,VI
ASIAN LC,321,Advanced Topics in Premodern Japanese Literature and Culture,VI
ASIAN LC,322,"Advanced Topics in Modern and Contemporary Japanese Literature
and Culture",VI
ASIAN LC,340,Advanced Topics in Korean Literature and Culture,VI
ASIAN LC,360,Advanced Topics in South Asian Literature and Culture,VI
ASIAN LC,370,Literary Cultures in South Asia,VI
ASIAN LC,373,Religious and Textural Traditions in South Asia,VI
ASIAN LC,375,South Asian Societies,VI
ASIAN LC,390,Advanced Topics in Asian Languages and Cultures,VI
ASIAN LC,392,"Advanced Studies in Asian Film, Media, and Visual Culture",VI
ASIAN LC,393,Asian Environmental Humanities,VI
ASIAN LC,394,Space and Place in Asian Literatures and Cultures,VI
ASIAN LC,395,Genre in Asian Literatures,VI
CFS,398,"Field Studies in Humanities (variable credit course; 1 unit can count
toward distribution requirements)",VI
CLASSICS,210,The World of Homer ;  with HUM 205,"IV,V,VI"
CLASSICS,211,Greek History and Culture; From Homer to Alexander the Great,"IV,V,VI"
CLASSICS,212,Rome: Culture and Empire,"IV,V,VI"
CLASSICS,245,Classics and the Cinema,VI
CLASSICS,250,Literatures of the Ancient World,VI
CLASSICS,260,Classical Mythology,"V,VI"
CLASSICS,310,Archaeology of the Ancient Mediterranean,"IV,VI"
CLASSICS,340,Greek and Roman Drama,VI
CLASSICS,350,Greek and Latin Literature,VI
CLASSICS,380,Classical Reception Studies,"IV,VI"
CLASSICS,397,"Exhibiting Antiquity: The Culture and Politics of Display; with ART
HIST 318 and HUM 397","IV,VI"
COMP LIT,200,Introduction to Literary Theory,VI
COMP LIT,201,Reading World Literature,VI
COMP LIT,202,Interpreting Culture,VI
COMP LIT,205,Reading Difference,VI
COMP LIT,211,Readings in Genre,VI
COMP LIT,270,Literatures in Translation,VI
COMP LIT,300,Theories and Practices of Reading,VI
COMP LIT,301,Studies in World Literature,VI
COMP LIT,302,Reading Across Disciplines,VI
COMP LIT,303,Movements and Periods,VI
COMP LIT,305,"Studies in Film, Media & Visual Culture",VI
COMP LIT,306,Studies in Race and Ethnicity,VI
COMP LIT,307,"Studies in Gender, Sexuality, and Representation",VI
COMP LIT,312,Major Authors & Texts,VI
ENGLISH,210-1,British Literary Traditions,VI
ENGLISH,210-2,British Literary Traditions,VI
ENGLISH,211,Introduction to Poetry,VI
ENGLISH,212,Introduction to Drama,VI
ENGLISH,213,Introduction to Fiction,VI
ENGLISH,214,Introduction to Film and Its Literatures,VI
ENGLISH,220,The Bible as Literature,"V,VI"
ENGLISH,234,Introduction to Shakespeare,VI
ENGLISH,270-1,American Literary Traditions,VI
ENGLISH,270-2,American Literary Traditions,VI
ENGLISH,273,Introduction to 20th-Century American Literature,VI
ENGLISH,274,Introduction to Native American and Indigenous Literatures,VI
ENGLISH,275,Introduction to Asian American Literature; with ASIAN AM 275,VI
ENGLISH,277,"Introduction to Latina and Latino Literature; with LATINO 277 and
SPANISH 277",VI
ENGLISH,302,History of the English Language,"IV, VI"
ENGLISH,310,Studies in Literary Genres,VI
ENGLISH,311,Studies in Poetry,VI
ENGLISH,312,Studies in Drama,VI
ENGLISH,313,Studies in Fiction,VI
ENGLISH,320,Medieval English Literature,VI
ENGLISH,322,Medieval Drama,VI
ENGLISH,323-1,Chaucer,VI
ENGLISH,323-2,Chaucer,VI
ENGLISH,324,Studies in Medieval Literature,VI
ENGLISH,331,Renaissance Poetry,VI
ENGLISH,332,Renaissance Drama,VI
ENGLISH,333,Spenser,VI
ENGLISH,334-1,Shakespeare,VI
ENGLISH,334-2,Shakespeare,VI
ENGLISH,335,Milton,VI
ENGLISH,338,Studies in Renaissance Literature,VI
ENGLISH,339,Special Topics in Shakespeare,VI
ENGLISH,340,Restoration & 18th-Century Literature,VI
ENGLISH,341,Restoration & 18th-Century Poetry,VI
ENGLISH,342,Restoration & 18th-Century Drama,VI
ENGLISH,344,18th-Century Fiction,VI
ENGLISH,348,Studies in Restoration and 18th-Century Literature,VI
ENGLISH,350,19th-Century British Literature,VI
ENGLISH,351,Romantic Poetry,VI
ENGLISH,353,Studies in Romantic Literature,VI
ENGLISH,356,Victorian Poetry,VI
ENGLISH,357,19th-Century British Fiction,VI
ENGLISH,358,Dickens,VI
ENGLISH,359,Studies in Victorian Literature,VI
ENGLISH,360,20th-Century British & American Literature,VI
ENGLISH,361-1,20th-Century Poetry,VI
ENGLISH,361-2,20th-Century Poetry,VI
ENGLISH,363-1,20th-Century Fiction,VI
ENGLISH,363-2,20th-Century Fiction,VI
ENGLISH,365,Studies in Postcolonial Literature,VI
ENGLISH,366,Studies in African American Literature,VI
ENGLISH,367,Postwar British Fiction,VI
ENGLISH,368,Studies in 20th-Century Literature,VI
ENGLISH,368-SA,Studies in 20th-Century Literature,VI
ENGLISH,369,Studies in African Literature,VI
ENGLISH,370,American Literature before 1914,VI
ENGLISH,371,American Novel,VI
ENGLISH,372,American Poetry,VI
ENGLISH,374,Topics in Native American and Indigenous Literatures,VI
ENGLISH,375,Topics in Asian American Literature,VI
ENGLISH,377,Topics in Latina and Latino Literature,VI
ENGLISH,378,Studies in American Literature,VI
ENGLISH,381,Literature & Medicine,VI
ENGLISH,383,Special Topics in Theory,VI
ENGLISH,385,Topics in Combined Studies,VI
ENGLISH,386,Studies in Literature and Film,VI
ENGLISH,387,Studies in Literature and Commerce,VI
ENGLISH,388,Studies in Literature and Religion,"V,VI"
FRENCH,210,Reading Literatures in French (French prereq.),VI
FRENCH,211,Reading Cultures in French (French prereq.),VI
FRENCH,271,Introducing the Novel (French prereq.),VI
FRENCH,272,Introducting Theatre (French prereq.),VI
FRENCH,277,French Existentialism,"V,VI"
FRENCH,279,Theater in Translation,VI
FRENCH,310,The Middle Ages and Renaissance (French prereq),VI
FRENCH,322,Medieval French Narratives (French prereq),VI
FRENCH,333,Topics in Renaissance Literature (French prereq),VI
FRENCH,334,Montaigne and Modernity (French prereq),VI
FRENCH,335,17th-Century Literature (French prereq),VI
FRENCH,340,Sexual Politics and the Ancien Regime (French prereq),VI
FRENCH,344,Rousseau and the French Revolution (French prereq),VI
FRENCH,346,Studies in the Enlightenment (French prereq),VI
FRENCH,350,The Novel in French (French prereq),VI
FRENCH,355,The Invention of Modernity (French prereq),VI
FRENCH,360,"From Modernism to Postmodernism: Experiments in Narrative Form
(French prereq)",VI
FRENCH,362,African Literatures and Cultures (French prereq),VI
FRENCH,364,Caribbean Literatures and Cultures (French prereq),VI
FRENCH,365,The Maghreb and the Middle East (French prereq),VI
FRENCH,367,Transnational Francophone Studies (French prereq),VI
FRENCH,371,"Giants, Cannibals, and Critique in the Renaissance",VI
FRENCH,374,Proust,VI
FRENCH,375,French Film,VI
FRENCH,376,Gender and Sexuality,VI
FRENCH,378,Contemporary Theory,VI
FRENCH,379,Topics in French Literature and Culture,VI
FRENCH,380,Political and Social Thought in France (French prereq),VI
FRENCH,384,Women Writing in French (French prereq),VI
FRENCH,386,Gender and Writing (French prereq),VI
FRENCH,390,Topics in Literature and Culture (French prereq),VI
FRENCH,390-SA,Topics in Literature and Culture (French prereq),VI
FRENCH,395,Advanced Studies in Culture and Thought (French prereq),VI
GEN LA,280-6,Residence-Linked Seminar - VI,VI
GEN MUS,170,Introduction to Music,VI
GEN MUS,175,Selected Topics in Music Literature for Non-Majors,VI
GEN MUS,220,History of the Symphony,VI
GEN MUS,230,History of Opera,VI
GEN MUS,250,History of Rock,VI
GEN MUS,270-1,The Western Musical Tradition,VI
GEN MUS,270-2,The Western Musical Tradition,VI
GERMAN,211,German Culture through Film (German prereq),VI
GERMAN,221-1,Introduction to Literature: 1800-1900 (German prereq),VI
GERMAN,221-2,Introduction to Literature: 1900-1945 (German prereq),VI
GERMAN,221-3,Introduction to Literature: 1945-today (German prereq),VI
GERMAN,223,Austrian Literature (German prereq),VI
GERMAN,226,New Voices in German Literature,VI
GERMAN,228,German Film,VI
GERMAN,230,Berlin and the Culture of Democracy,"IV,VI"
GERMAN,232,The Theme of Faust through the Ages,"V,VI"
GERMAN,234-1,Jews & Germans: An Intercultural History I,"IV,V,VI"
GERMAN,234-2,Jews & Germans: An Intercultural History II,"IV,V,VI"
GERMAN,236,Kafka and Nietzsche,"V,VI"
GERMAN,238,Turn-of-the-Century Vienna,VI
GERMAN,242,"Imagining Modern Jewish Culture in German and Yiddish; with JWSH
ST 242",VI
GERMAN,244,Analyzing Freud,VI
GERMAN,245,Special Topics in German Literature & Culture (German prereq),VI
GERMAN,266,"Introduction to Yiddish Culture: Images of the Shtetl; with JWSH ST &
YIDDISH 266",VI
GERMAN,321-1,"Reason, Revolution, & Despair: 1800-1900 (German prereq)","IV,VI"
GERMAN,321-2,Myth & Modernity: 1900-1945 (German prereq),"IV,VI"
GERMAN,321-3,Recoveries & Transitions: 1945 to Present (German prereq),"IV,VI"
GERMAN,322,German Contributions to World Literature,VI
GERMAN,323,Rhyme and Reason in German Poetry (German prereq),VI
GERMAN,324,Modern German Drama,VI
GERMAN,327,German Expressionism (German prereq),VI
GERMAN,329,"Brecht: Theater, Film, and Media (German prereq)",VI
GERMAN,331,Shattered Worlds: Representation after the Shoa (German prereq),VI
GERMAN,333,Literature of a Divided Nation (German prereq),VI
GERMAN,334,Writers and their Critics,VI
GERMAN,335,Minority Voices in Germany (German prereq),VI
GERMAN,366,"Yiddish Culture and the Holocaust; with JWSH ST 366 and YIDDISH
366",VI
GNDR ST,231,"Gender, Sexuality, and Representation; with COMP LIT 205",VI
GNDR ST,350-6,Research Seminar in Gender and Sexuality Studies,VI
GNDR ST,361,"Gender, Sexuality, and Literature",VI
GNDR ST,362,"Gender, Sexuality, and Drama",VI
GNDR ST,363,Postcolonial Studies and Gender and Sexuality,VI
GNDR ST,372,"Gender, Sexuality, and Performance",VI
GNDR ST,373,"Gender, Sexuality, and Film",VI
GNDR ST,374,"Gender, Sexuality, and Digital Technologies",VI
GNDR ST,381,Queer Theory,VI
GNDR ST,382,"Race, Gender, and Sexuality",VI
GREEK,301,Readings in Greek Literature (Greek prereq.),VI
HEBREW,216-1,Hebrew III: Topics in Hebrew Literature (Hebrew prereq),VI
HEBREW,216-2,Hebrew III: Topics in Hebrew Literature (Hebrew prereq),VI
HEBREW,216-3,Hebrew III: Topics in Hebrew Literature (Hebrew prereq),VI
HEBREW,316-1,Hebrew IV: Advanced Topics in Hebrew Literature (Hebrew prereq),VI
HEBREW,316-2,Hebrew IV: Advanced Topics in Hebrew Literature (Hebrew prereq),VI
HEBREW,316-3,Hebrew IV: Advanced Topics in Hebrew Literature (Hebrew prereq),VI
HUM,205,The World of Homer ; with CLASSICS 210,"IV,V,VI"
HUM,210,Humanities in the World I,VI
HUM,225,Media Theory; with ART HIST 375,VI
HUM,260,Humanities Explorations,"V,VI"
HUM,310-6,Global Humanities Lab,VI
HUM,325-6,Humanites in the Digital Age,VI
HUM,370-6,Special Topics in the Humanities,VI
HUM,397,"Exhibiting Antiquity: The Culture and Politics of Display; with ART
HIST 318 and CLASSICS 397","IV,VI"
ITALIAN,202,Italian through Performance (Italian prereq),VI
ITALIAN,204,Introduction to Italian Literature (Italian prereq),VI
ITALIAN,230,Italian Theatre and Performance,VI
ITALIAN,250,Topics in Italian Culture and Literature,VI
ITALIAN,251,Introduction to Italian Cinema,VI
ITALIAN,265,Body & Soul from Rome to the Renaissance,"IV,VI"
ITALIAN,270,Michelangelo and the Italian Renaissance,"IV,VI"
ITALIAN,275,Dante's Divine Comedy,VI
ITALIAN,277,Global Neorealism,VI
ITALIAN,306,Migrations (Italian prereq),VI
ITALIAN,310,Reading Italian Literature (Italian prereq),VI
ITALIAN,347,Italy in Art and Literature (Italian prereq),VI
ITALIAN,348,The Italian Novella  (Italian prereq),VI
ITALIAN,349,Topics in Italian Culture and Literature (Italian prereq),VI
ITALIAN,350,Advanced Topics in Italian Culture and Literature,VI
ITALIAN,351,Italian Film and Transnational Cinema,VI
ITALIAN,360,From the Avant-Garde to the Postmodern,VI
ITALIAN,374,Love and Sexuality in the Early Modern Period,VI
ITALIAN,377,Gender and Sexuality in Italian Culture,VI
JAPANESE,310,"Japanese IV: Special Topics in Reading Japanese Literature in Japanse
(Japanese prereq)",VI
JAPANESE,311-1,"Japanese IV: Reading Modern Japanese Literature in Japanese
(Japanese prereq)",VI
JWSH ST,242,"Imagining Modern Jewish Culture in German and Yiddish; with
GERMAN 242",VI
JWSH ST,266,"Introduction to Yiddish Culture: Images of the Shtetl; with GERMAN
266 & YIDDISH 266",VI
JWSH ST,278,Modern Hebrew Literature in Translation,VI
JWSH ST,279,Modern Jewish Literature,VI
JWSH ST,280-6,Topics in Israel Studies,VI
JWSH ST,350,Representing the Holocaust in Literature and Film,VI
JWSH ST,366,Yiddish Culture and the Holocaust; with GERMAN 366 & YIDDISH 366,VI
JWSH ST,379,Storytelling in American Jewish Literature,VI
JWSH ST,396,Topics in Modern Jewish Culture,VI
LATIN,310,Readings in Latin Literature (Latin prereq),VI
LATINO,203,Introduction to Latina and Latino Cultural Studies,VI
LATINO,277,"Introduction to Latina and Latino Literature; with ENGLISH 277 and
SPANISH 277",VI
LATINO,393,Topics in Latina and Latino Text and Representation,VI
MENA,200,"Making the Modern Middle East: Culture, Politics, History","III,VI"
MENA,290-6,Introductory Topics in Middle East and North African Studies,VI
MENA,390-6,Advanced Topics in Middle East and North African Studies,VI
MUSICOL,323,Topics in Ethnomusicology,VI
MUSICOL,329,Topics in Middle Eastern Music,VI
MUSICOL,330,Russian Fairy Tale and Opera,VI
MUSICOL,331,Orientalism and Music,VI
MUSICOL,335,Selected Topics in Musicology,VI
MUSICOL,335-SA,Selected Topics in Musicology,VI
MUSICOL,339,Music and Gender,VI
MUSICOL,341,Music and the Visual Arts,VI
MUSICOL,342,Authenticity,VI
MUSICOL,350,Topics in Medieval Music,VI
MUSICOL,351,Topics in 16th Century Music,VI
PERF ST,103,Analysis and Performance of Literature,VI
PERF ST,200,Introduction to Performance Studies,VI
PERF ST,301,Peformance and Activism in Digital Culture,VI
PERF ST,303,Transnational Flows of Performance,VI
PERF ST,304,Sonic Practices of the Middle East and North Africa,VI
PERF ST,305,Performance Theory,VI
PHIL,280,Introduction to the Philosophy of Art,VI
POLISH,358-1,Polish for Advanced & Native Speakers (Polish prereq.),VI
POLISH,358-2,Polish for Advanced & Native Speakers (Polish prereq.),VI
PORT,210,"Icons, Legends, and Myths in Brazil  (may have Portuguese prereq.)","IV,VI"
PORT,380,Contemporary Brazil: Literature and Film,VI
PORT,396,Topics in Lusophone Cultures,VI
RTVF,220,Analyzing Media Texts,VI
RTVF,312-1,History of Film I,VI
RTVF,312-2,History of Film II,VI
RTVF,313-1,Documentary Film: History and Criticism,VI
RTVF,313-2,Documentary Film and Video,VI
RTVF,321,Radio/Television/Film Authorship,VI
RTVF,322,Radio/Television/Film Genre,VI
RTVF,326,Film and TV Criticism,VI
RTVF,351,National Cinema,VI
RELIGION,301,Hindu Epics:  Mahābhārata,"V,VI"
RELIGION,315,Buddhist Auto/biography,"V,VI"
RUSSIAN,359-0,Russian Prose (Russian prereq.),VI
SLAVIC,210-1,Introduction to Russian Literature,VI
SLAVIC,210-2,Introduction to Russian Literature,VI
SLAVIC,210-3,Introduction to Russian Literature,VI
SLAVIC,211-1,20th-Century Russian Literature,VI
SLAVIC,211-2,20th-Century Russian Literature,VI
SLAVIC,260,Economics and the Humanities: Understanding Choice,"V,VI"
SLAVIC,267,"Czech Culture: Film, Visual Arts, Music",VI
SLAVIC,278-1,Visual Art in the Context of Russian Culture,VI
SLAVIC,278-2,Visual Art in the Context of Russian Culture,VI
SLAVIC,310,Tolstoy,VI
SLAVIC,311,Dostoevsky,VI
SLAVIC,314,Chekhov,VI
SLAVIC,360,Survey of 19th-Century Russian Poetry (Russian prereq.),VI
SLAVIC,361,Survey of 20th-Century Russian Poetry (Russian prereq.),VI
SLAVIC,367-1,Russian Film,VI
SLAVIC,367-2,Russian Film,VI
SLAVIC,368,Andrei Tarkovsky's Aesthetics & World Cinema,VI
SLAVIC,369,Two Hundred Years of Russian Drama,VI
SLAVIC,390,Literature & Politics in Central and Eastern Europe,"IV,VI"
SLAVIC,392,East European Literature and Visual Arts,VI
SLAVIC,393,"Prague: City of Cultures, City of Conflict","IV,VI"
SLAVIC,396,Topics in Literature and Arts,VI
SPANISH,210,"Icons, Legends, & Myths in Latin Amrican, Latino, and/or Iberian
Cultures (Spanish prereq)",VI
SPANISH,223,Cervantes,VI
SPANISH,231,"The ""New"" Latin American Narrative",VI
SPANISH,232,Discovering Jewish Latin America,VI
SPANISH,250,Literature in Spain before 1700 (Spanish prereq),VI
SPANISH,251,Literature in Spain since 1700 (Spanish prereq),VI
SPANISH,260,Literature in Latin America before 1888 (Spanish prereq),VI
SPANISH,261,Literature in Latin America since 1888 (Spanish prereq),VI
SPANISH,277,"Introduction to Latina and Latino Literature; with ENGLISH 277 and
LATINO 277",VI
SPANISH,301,Topics in Language (Spanish prereq),VI
SPANISH,310,Origins of Spanish Civilization (Spanish prereq),VI
SPANISH,320,Golden Age of Poetry and Prose (Spanish prereq),VI
SPANISH,321,Golden Age Drama (Spanish prereq),VI
SPANISH,323,Cervantes' Don Quixote (Spanish prereq),VI
SPANISH,331,Realism in Spain: The Problem of Representation (Spanish prereq),VI
SPANISH,335,Modern Fiction in Spain: Studies in Genre (Spanish prereq),VI
SPANISH,340,Colonial Latin American Literature (Spanish prereq),VI
SPANISH,341,Latin American Modernisimo (Spanish prereq),VI
SPANISH,342,Race and Representation in Latin America,VI
SPANISH,343,Latin American Avant-Gardes (Spanish prereq),VI
SPANISH,344,Borges (Spanish prereq),VI
SPANISH,345,"Reading the ""Boom"" (Spanish prereq)",VI
SPANISH,346,Testimonial Narrative in Latin America (Spanish prereq),VI
SPANISH,347,Literature and Revolution in Latin America (Spanish prereq),VI
SPANISH,348,Readings in Latin American Short Fiction (Spanish prereq),VI
SPANISH,350,Visual Culture in Latin/o America and Spain (Spanish prereq),VI
SPANISH,360,Spain: Studies in Culture and Society (Spanish prereq),VI
SPANISH,361,Latin America: Studies in Culture and Society (Spanish prereq),VI
SPANISH,362,Citizenship and Urban Violence in Latin America,VI
SPANISH,363,"Topics in U.S. Latina/o Literary and Cultural Studies (Spanish
prereq)","III,VI"
SPANISH,364,Cultural Borders / Border Cultures,VI
SPANISH,380,"Topics in Film: The Silver Screen in Latin America and/or Spain
(Spanish prereq)",VI
SPANISH,380-SA,"Topics in Film: The Silver Screen in Latin America and/or Spain
(Spanish prereq)",VI
SPANISH,395,"Topics in Latin American, Latina and Latino, and/or Iberian Cultures
(Spanish prereq)",VI
SPANISH,395-SA,"Topics in Latin American, Latina and Latino, and/or Iberian Cultures
(Spanish prereq)",VI
SPANISH,397,"Topics in Latin American, Latina and Latino, and/or Iberian
Literatures and Cultures",VI
SWAHILI,216-1,Introduction to Swahili Literature (Swahili prereq),VI
SWAHILI,216-2,Introduction to Swahili Literature (Swahili prereq),VI
SWAHILI,216-3,Introduction to Swahili Literature (Swahili prereq),VI
YIDDISH,266,"Introduction to Yiddish Culture: Images of the Shtetl; with GERMAN
266 & JWSH ST 266",VI
YIDDISH,366,"Yiddish Culture and the Holocaust; with GERMAN 366 & JWSH ST
366",VI
